year,early estimate of date,late estimate of date,active year,type of violence,conflict id new,conflict name,side a id,side b id,side a name,side b name,latitude,longitude,geom_wkt,deaths side a,deaths side b,deaths civilians,deaths unknown,total deaths
2015,2015-03-27T00:00:00,2015-03-27T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,47.094565,37.815639,POINT (37.815639 47.094565),0,0,1,0,1
2015,2015-04-04T00:00:00,2015-04-04T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.145278,37.745,POINT (37.745000 48.145278),3,0,0,0,3
2015,2015-01-01T00:00:00,2015-02-28T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.92,39.02,POINT (39.020000 48.920000),4,0,0,0,4
2015,2015-04-05T00:00:00,2015-04-05T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.721895,39.25145,POINT (39.251450 48.721895),4,0,0,0,4
2015,2015-04-12T00:00:00,2015-04-13T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),1,0,0,0,1
2015,2015-04-05T00:00:00,2015-04-05T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,47.095833,37.549444,POINT (37.549444 47.095833),2,0,0,0,2
2015,2015-04-14T00:00:00,2015-04-15T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.06087,37.681397,POINT (37.681397 48.060870),1,0,0,0,1
2015,2015-04-15T00:00:00,2015-04-15T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.075,37.725556,POINT (37.725556 48.075000),0,0,0,0,0
2015,2015-04-20T00:00:00,2015-04-21T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.06087,37.681397,POINT (37.681397 48.060870),1,0,0,0,1
2015,2015-04-25T00:00:00,2015-04-25T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.426833,36.855864,POINT (36.855864 48.426833),0,1,0,0,1
2015,2015-04-26T00:00:00,2015-04-26T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),1,0,0,0,1
